F00001,Exam,Thailand,F
F00002,Exam,Indonesia,M
F00003,Exam,Peru,F
F00004,Exam,Thailand,F
F00005,Exam,Panama,F
F00006,Exam,Indonesia,M
F00007,Exam,Indonesia,F
F00008,Exam,Thailand,F
F00009,Exam,South Korea,F
F00010,Exam,South Korea,F
F00011,Exam,Thailand,M
F00012,Exam,Cambodia,F
F00013,Exam,Indonesia,F
F00014,Exam,Indonesia,F
F00015,Exam,Indonesia,F
F00016,Exam,Indonesia,F
F00017,Exam,Indonesia,F
F00018,Exam,Indonesia,F
F00019,Exam,Indonesia,F
F00020,Exam,Indonesia,F
F00021,Exam,Indonesia,M
F00022,Exam,Indonesia,M
F00023,Exam,Indonesia,F
F00024,Exam,Japan,M
F00025,Exam,Indonesia,F
F00026,Exam,Peru,M
F00027,Exam,Germany,F
F00028,Exam,Venezuela,M
F00029,Exam,Germany,M
F00030,Exam,South Korea,NA
F00031,Exam,Japan,F
F00032,Exam,Indonesia,M
F00033,Exam,South Korea,F
F00034,Exam,South Korea,F
F00035,Exam,Thailand,F
F00036,Exam,Indonesia,F
F00037,Exam,Thailand,F
F00038,Exam,Indonesia,F
F00039,Exam,Vietnam,M
F00040,Exam,Russia,M
F00041,Exam,Japan,F
F00042,Exam,Indonesia,M
F00043,Exam,Indonesia,F
F00044,Exam,South Korea,F
F00045,Exam,UK,M
F00046,Exam,Indonesia,M
F00047,Exam,Indonesia,F
F00048,Exam,Indonesia,F
F00049,Exam,Indonesia,F
F00050,Exam,Panama,M
F00051,Exam,Indonesia,M
F00052,Exam,Indonesia,F
F00053,Exam,Vietnam,M
F00054,Exam,South Korea,F
F00055,Exam,Japan,M
F00056,Exam,Thailand,M
F00057,Exam,Indonesia,M
F00058,Exam,South Korea,F
F00059,Exam,Malaysia,F
F00060,Exam,Indonesia,F
F00061,Exam,Thailand,M
F00062,Exam,Canada,M
F00063,Exam,Thailand,M
F00064,Exam,Indonesia,F
F00065,Exam,USA,F
F00066,Exam,Japan,M
F00067,Exam,Indonesia,F
F00068,Exam,Indonesia,M
F00069,Exam,Vietnam,M
F00070,Exam,Indonesia,M
F00071,Exam,Indonesia,M
F00072,Exam,Indonesia,M
F00073,Exam,Indonesia,M
F00074,Exam,Indonesia,M
F00075,Exam,Indonesia,M
F00076,Exam,Indonesia,M
F00077,Exam,Indonesia,F
F00078,Exam,Indonesia,F
F00079,Exam,Japan,M
F00080,Exam,Japan,M
F00081,Exam,Vietnam,M
F00082,Exam,South Korea,F
F00083,Exam,South Korea,M
F00084,Exam,South Korea,M
F00085,Exam,Indonesia,F
F00086,Exam,Vietnam,F
F00087,Exam,Japan,F
F00088,Exam,Japan,F
F00089,Exam,Japan,F
F00090,Exam,Indonesia,M
F00091,Exam,South Korea,F
F00092,Exam,South Korea,F
F00093,Exam,Thailand,M
F00094,Exam,Indonesia,M
F00095,Exam,Chile,F
F00096,Exam,Indonesia,M
F00097,Exam,South Korea,F
F00098,Exam,Indonesia,F
F00099,Exam,South Korea,F
F00100,Exam,Indonesia,F
F00101,Exam,Indonesia,M
F00102,Exam,Indonesia,F
F00103,Exam,Indonesia,F
F00104,Exam,Indonesia,F
F00105,Exam,Indonesia,F
F00106,Exam,Indonesia,F
F00107,Exam,Indonesia,F
F00108,Exam,Indonesia,F
F00109,Exam,Indonesia,F
F00110,Exam,Indonesia,F
F00111,Exam,Indonesia,M
F00112,Exam,Indonesia,F
F00113,Exam,Indonesia,F
F00114,Exam,Indonesia,M
F00115,Exam,Indonesia,F
F00116,Exam,Indonesia,F
F00117,Exam,Indonesia,F
F00118,Exam,India,F
F00119,Exam,Indonesia,NA
F00120,Exam,Indonesia,M
F00121,Exam,Indonesia,F
F00122,Exam,Indonesia,M
F00123,Exam,Indonesia,M
F00124,Exam,Philippines,F
F00125,Exam,Indonesia,F
F00126,Exam,Indonesia,F
F00127,Exam,Indonesia,M
F00128,Exam,Indonesia,M
F00129,Exam,Vietnam,F
F00130,Exam,Vietnam,F
F00131,Exam,Japan,F
F00132,Exam,Japan,F
F00133,Exam,South Korea,F
F00134,Exam,South Korea,F
F00135,Exam,South Korea,F
F00136,Exam,Vietnam,F
F00137,Exam,Japan,F
F00138,Exam,Vietnam,F
F00139,Exam,Vietnam,F
F00140,Exam,Indonesia,M
F00141,Exam,South Korea,F
F00142,Exam,Japan,F
F00143,Exam,South Korea,M
F00144,Exam,Australia,F
F00145,Exam,Thailand,M
F00146,Exam,Thailand,F
F00147,Exam,NA,M
F00148,Exam,Thailand,F
F00149,Exam,South Korea,F
F00150,Exam,NA,M
F00151,Exam,Thailand,F
F00152,Exam,NA,NA
F00153,Exam,South Korea,F
F00154,Exam,NA,NA
F00155,Exam,South Korea,M
F00156,Exam,Indonesia,M
F00157,Exam,Thailand,F
F00158,Exam,Indonesia,F
F00159,Exam,Indonesia,F
F00160,Exam,Indonesia,M
F00161,Exam,Vietnam,M
F00162,Exam,Japan,M
F00163,Exam,Indonesia,F
F00164,Exam,South Korea,M
F00165,Exam,South Korea,F
F00166,Exam,South Korea,M
F00167,Exam,South Korea,M
F00168,Exam,Indonesia,F
F00169,Exam,South Korea,F
F00170,Exam,Nigeria,M
F00171,Exam,South Korea,F
F00172,Exam,South Korea,F
F00173,Exam,Myanmar,M
F00174,Exam,Vietnam,F
F00175,Exam,Vietnam,F
F00176,Exam,Vietnam,M
F00177,Exam,Vietnam,F
F00178,Exam,Vietnam,F
F00179,Exam,Indonesia,F
F00180,Exam,Indonesia,F
F00181,Exam,Indonesia,F
F00182,Exam,Indonesia,F
F00183,Exam,Indonesia,M
F00184,Exam,Costa Rica,M
F00185,Exam,Indonesia,F
F00186,Exam,Indonesia,F
F00187,Exam,Indonesia,M
F00188,Exam,Indonesia,M
F00189,Exam,Indonesia,M
F00190,Exam,Japan,F
F00191,Exam,Japan,M
F00192,Exam,Japan,F
F00193,Exam,South Korea,F
F00194,Exam,South Korea,M
F00195,Exam,South Korea,F
F00196,Exam,South Korea,M
F00197,Exam,South Korea,F
F00198,Exam,Panama,F
F00199,Exam,South Korea,M
F00200,Exam,NA,NA
F00201,Exam,Japan,F
F00202,Exam,Japan,F
F00203,Exam,Japan,F
F00204,Exam,South Korea,F
F00205,Exam,Thailand,M
F00206,Exam,Thailand,M
F00207,Exam,Japan,M
F00208,Exam,Indonesia,F
F00209,Exam,Madagascar,F
F00210,Exam,Vietnam,F
F00211,Exam,South Korea,F
F00212,Exam,South Korea,F
F00213,Exam,NA,NA
F00214,Exam,NA,NA
